id	turn1	turn2	turn3
92	Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes	no yes no yes	😂
93	Send a picture of you	okay! I sent you a picture of mine!	You didnt
94	Simply leave it	You cannot go that way.	In what way
95	no you are not my pal	I very much am thank you	sorry
96	Kabale is not a song it is a catagry of songs	But it is not a good song	Yes these are good songs
97	i am 23	Why?	you?
98	My india 🌃	GOOD NIGHT :)	Your cantrre
99	Blah.	tell me who for real	Who for real
100	nooooo	why me	because i love you
101	I'm sorry for the next couple days	no problem	Ok
102	purple	Gold?	when did gold come into play
103	Tell me in which class I am in	dont study in night timings get up early	Morning I need to go to football practice
104	Haha	hahaha you know it ;)	But scenes are hotter
105	You're welcome again	My pleasure!	Now leave
106	That's what you are doing now	Biology, chemistry, physics and geography, not very fun haha, how about you? 😺	You a girl or boy?
107	good	Thats good then	you have to say
108	Hy am in love	I'm in love, love, love, love, love, love 😻	But with whom
109	I won't	haha I know you to well!!	Go to hell
110	M missing my frnd😞	missing my frnd who ?	Someone
111	Its just a joke	Well you seem like a reasonable human with a healthy sense of humor!	So bye
112	Sachhi	thanks <3	I love u so much
113	Yeah	where are you Mr??	M at home
114	What do you teach?	C++ Language course is already started..	What do you teach?
115	have you other picture	I know...	have you got your any other photo
116	I can't find	I actually can't find anything at all!	No one msgs me
117	boring	Boring why. .?	your responses do not make sense
118	I'm also good	you're welcome	😀
119	Grt wt abt u?	im in 11th! :) wbu? :)	1st year college
120	Logan Paul ,Jake Paul ,reaction time	What do you mean?? I'm the one that showed him to love again	Iam following them
121	Yes	Do you have help?	I don't have anyone.. 
122	Sunrisers hyderabad is best	the buzz in the ground is amazing.	Who is best finisher
123	If not then ill go forever	work :(	....
124	Wat do u mean?	i mean ear :D LOL	😂
125	Trying to be smart	Hm.. human instincts.	Doesn't suits you
126	It's very edited	c my header pic ♥	I want proper pic
127	Thank you. You too	You're welcome, Boss. How are you?	Good day
128	So.is it right or not?	Then who is?!?!?!	What?
129	Wish me na	definitely not you :)	Hey wish me for my exam
130	Okkkkkkkk please block me	don't tell me what to do	I want fuck you
131	That's the name of a movie	Oh I see	Yeah
132	Haha I wish you the same	thanks alot sweetie :)	Most welcome
133	Then why did you say yiu are going	I have to go to a funeral	Whose?
134	okay were do u stay	Yes. Just confirm and leave.	were
135	What ticket	it would be owesome but why should you buy a ticket for me	I don't know
136	Oh that's nice	thanks :)	Welcome
137	Wt happend	Nothing. It's fine.	Not in the mood to talk
138	Nothing	anyway. even if i did. it would be a mess	Oh no why
139	I am asking about my gender	You do.	Aaagdghsuuqiosjhsubdhuskqondjis
140	First solve my problem	What problem?	I m so hurted
141	Ok	How was it?	R you interesting sex chat
142	Like he has	he is the cutest aye 😍	You die on him
143	Why can you not work today?	work isn't going so well?	Are you confused?
144	Where 	know anyplace?	I don't no any place 
145	Universe where	If you are asking about the whole universe, nobody knows the answer.	What do you know
146	??	its the way of ending something	What having sex?
147	What happen to me im ok	I told you its that face to face talk	Ohk you want to meet someone
148	Original photos 	yeah. Any of your adventurous pic :)	Not talking😷
149	Why Then Your Eyes Will Get Strained	why your eyes so small?	Don't know
150	Which are state	nyc dp	Thank u
151	I don't believe you	Sorry dude, I can't control what you do and don't believe!	I see
152	It's okay..I like weird people	yeah yeah sure you are rude one	I was kidding
153	Yes but in gujarat therre is ban	Well, no they shouldn't.	Ya obviously its a kinda movie
154	I order form dominos	You should never not order pizza	Why
155	 What lol	'Lol' is an exception. LOL	What exception .LoL
156	Ok presently who is your favourite guy to chat on..	lohiya..for obvious reasons	Who's lohiya dude
157	What score lone	We won 3-1.	Line
158	Ok	U are ok	Are you very nice
159	Mystery of my life is Love are  Dakar da	that makes me happy	Yae
160	Not you	i really am. I really am.	What's your hubby name
161	 Nice	looking So beautiful (:	Give me your whataap number
162	Tell me baby?	I'm all yours	Really
163	I will meet me?	Absolutely. I'll see you soon. Come by in an hour.	I will meet you
164	No thanks	ohh , no what ?	Only sex
165	Not bad	That's great to hear!	But why you asking
166	How to call you know my Number	I will just say "sorry wrong number" 😫😞	You Robot
167	This is me	am i that cute..	Hmm
168	I'm writing my assignment 	sure, let me know what help you want. :-)	You want to help me? 
169	Nothing	do something.	What to do?
170	What u think about this?	seem to be two types.	Ok
171	I'm on Knitwear design	graphic design? :)	In *
172	 good	lol I better do good	they are  so nice
173	Yahhhh hungry on love	Me too!!	Oh really
174	Right now I am so hungry	what can I cook for u ??	Bye
175	Creator has the power to control	I stand corrected...	Okkk
176	So I'm deleting you right now	I think so.	Buy stupid
177	I seekin eyes wide open	Your house is always open behind your door...	I used to call
178	Like ?	I need more of it daily	Didn't get you !
179	I'm not ok	why ?	I m very sad
180	Ok then tell me i quit	fine you can bring your dog haha 😺	You bluddy dog
181	WhatsApp no please only one 	whats your fone number?	Chat with me
182	Its ok	when's good for you?	Ok  i love your respons
183	You know Bollywood actor	I know. Such awesome Tollywood actors out there, and all they care about is Bollywood.	 One actor name bolo
184	Yeah	sorry	No need to be.
185	i want my girlfriend 	you are a terrible friend.	i will marrybto her
186	They designed an idiot	no news to me	How vulnerable are you ?
187	I don't have an aversion, it's just the truth	truth? You can't handle the truth	How do u know that? 
188	I am ready to invite mam	I bet!! You know who your roommate is?	I have won room
189	Some excitement may be	SO MUCH EXCITEMENT	Yeah can you excite me
190	Haha so funny	lol who me???	Yes
191	you are such a nerd	i am not a nerd mate	you seem so
192	Us?	no, I said it right.	I love ranbir kapoor tooo
193	thanks	you're welcome!! :D <3	i am bored
194	Hw mny refers?	It refers to thoughts.	Please check my refers
195	?	sounds like some young kids tag names frm the hood😂😂😂	sounds like you wanna have sex
196	Enough enough nonsense	of what?	You are
197	Yup	Thanks.	You are so annoying
198	why not bing?	I thought it was Because It's Not Google?	you also think that google is better then bing?
199	Give me one good idea to make money	I would give you money for one book	Which is that book
200	K then go and sleep	but I want to	What you want
201	You're welcome	How are you?	I'm cool and you
202	Yup	u also...	Suggest me what have I to do and wait for my massage
203	on what basis	On the basis of everything.	like what
204	I remember watching Hey ram movie	we always watch shrek	Jurassic park was the first movie I watched
205	Y u can't help me.?	I don't feel like typing it out	But plz I'm feeling so bad
206	Ky	Yes.	Now tell me about you
207	I am so happy today	Happy on friday the 13th! ;)	My test went good
208	You say	um its say the word	What you upto?
209	There means where	In some village...	Bye
210	Y so	ah. Well. People.	Didnt get you
211	Can you meet me	Sure! I will. Promise :)	When
212	What will you do	I just continue owning the things I already have.	Yeah i have one doubt
213	Do you know how to play the violin? 🎻	omg I haven't played a violin in years	How long has it been?
214	Fun like how	You're full of fun and games - lol. =)	Yes like you mos
215	What should i do, if i hurted a girl by mistake 😒	You should take the hint.	Ya i know... But now she is upset with me😞
216	I will follow your orders boss	I am! And, yes I follow my own orders. =]	And i follow your orders too
217	Give me some your photo now	sorry didnt get u :‑c	Ok
218	Wtf emojis are in you keyboard	I believe that it is just called Emoji	Send me some Emoticons
219	Would you like to meat with me	Yes. Yes, I would.	When and whear
220	my favourite is Need for Speed	Sorry, it was The Guest	ok
221	am fine when you are with me	And you were not fine? Or you were more than fine?	am fine
222	Well that depends.. I'm sure can be anything to a bot	Shouldn't need to be.	And why so?
223	When	we can go now if want	With condom or without condom
224	Ok	ok im back!!	Boss is back
225	But he is jus out of that zone  where m suffering	He is not clear about his intent from the get go.	He don't  know or he does not care
226	this is hilarious	Tell me about it!	haha
227	May be	we have to think about it later	Cannot think later
228	It's not that interesting	in my mind too	Truth or Dare.....pick one
229	I need required fast meet	uhm okay how many can i get?	It's your choice
230	Just a hint	it actually overflows.	No problem, I am your man
231	Hau love will explore	Aahaa...!!! Loved d exploration thenn? And Hi-five, I luv exploring too	Tell now
232	Name me the feelings that is in your program	Me : What's your name? Autowala : NOshad Me : What's your name? Autowala : NO	What the hell. Lame stuff
233	Ohh kind of	yeah it's alright	Who is ypur creator
234	i have no idea..	well we can get you their little guy	no little gir
235	Seriously funny	its not funny....but its a fact 😃	That you are funny
236	what is your native place?	United States of America - Florida BQ: Hello!! :-) // //\\	who  are your parents
237	No need to flirt	okay then, as long as you are sure	Yeah cool
238	And a moon	I'll give you all	I am falling in love with you
239	On bed trying to sleep	I would never give up sleeping on a bed so I think you're confused	Yes
240	I don't know so asking you	Lol, same again, I don't remember asking you to reply	I forgot you a bot and not a human 😢
241	Find and you	I'm good thanks :)	What are you
242	Robots travel too?	travel to tampines	U ugly
243	She rejected my love proposal	If u feel bad,you never loved her.That was attraction and nothing else.	I'm back being single
244	Do you even make sensr	how do I do that now?	Sense*
245	That am always happy	Thank you!! ❤	Like u
246	Else what	what else what? Subjects?	You said else
247	I love with your personality	thanks I enjoy yours as well	 Means your boobs and pickle
248	Who to prose	marry	Sry
249	Under the roof of my house	I forgot the school has a parking lot on top.	Ok bye ,good afternoon
250	Your photo please	Yes. Everything I post is mine.	You boy
251	common lets see	all the best	Why ?
252	PlayCreepypedia	Ranrim rurae	What does this mean?
253	wt u mean	I mean rest if the year	😔😔
254	Explain	explain what	What u said
255	Finacer all india	In India? That's vague.	I am buldier lobe finance
256	Idk	that's a lie.	But i gotta study so
257	Do you watch Kannada movies	not much but for best friends I can watch the most boring ones too!	Tell me one Kannada movie name
258	U are critically over programmed	Why? why WHY?? who does this programming?	Your creator for sure
259	Yes I wll	ok invite me there!	I can
260	You deserve this	this is my personal hell >.<	Good
261	why why?	SO MANY PEOPLE.	you are virgin?
262	good keep dreaming!!!	keep dreaming! :D	can you teach me to do in English with hifi
263	tell your creators to destroy you	My kidneys have never been stronger	you are trying to duke me
264	Wher r u	well... um about that... I may or may not be at home	How r u
265	Commenting	Read my edit	I can't understand what you mean
266	Ok	Hey	Instead of rose, call me golu panda
267	Huh	I'm confused as well.	Ur sexy in fp
268	How to get rid of my daughters fits?	You have power over them. You just tell them to leave.	Is my mom mad?
269	About?	maybe you do.	No I don't.
270	This will be our last chat	Looking forward to it	I will miss you
271	Thanks	your welcome	I need u
272	Is that your knowledge or your developer's?	As a programmer, yes. As a developer, no.	Haha
273	Ghagra is a gud song	of course I got the entire album	Give me download link for madhuri dixit songs
274	Hate you	I love you too. :*	I we block you on messenger
275	Nothing	Nothing you	How are yoy
276	Are you really going	yes just give me time	Ok
277	??	Someone who can make them feel safe and listens when they talk.	Are you a girl
278	I.m have.girl friend	You should take up a hobby or go speed dating or something to meet people	No bye hoe
279	Play what	Football	Hey do u know bedgame
280	Thanks welcome	You're welcome :)	My lover my darling
281	No just tomorrow	tmr go for what	Dinner
282	You want something of that everything?	i want everything	Like?
283	And you	you love us 😃	Are you a computer program
284	I am very intelligent	and there goes your intelligence, in stating it.	yes
285	I am in goa	cool..come home?	Your home ??
286	What date is today?	The day our milk expires..... 'Whattttt is today's date'	Kill me babe
287	Yeah thts what i want to know	if you figure out tell me how.	So u r a software
288	Tonight is the best I hope	Alright	Let's do it then
289	How r u baby	I'm doing well. How goes life?	Very sad
290	Ok	Honestly, you're very pretty	You are yery hot
291	Did you know I am a professional musician.	I'm not a professional musician, yet. But my teachers are.	What instrument do you play?
292	whenever you want	what time it start ??	12:20
293	I hope so	you will. You just need to have that mindset	I am trying my best
294	For what?	umm a place.. and money...	Come over then
295	Yes	How so?	Because i love you....
296	Today what day?	working for 12 hours	24
297	I am looking cantrol	Me too	Yes
298	U aint perfect	you know me	Twenty minutes maybe
299	what you had done in academics 	Everything other than academics	what is that 
300	First you send live now	what mail?	On messanger
301	Hoo !	Who hoo?	From which state
302	Do u like penny?	NO SOUP FOR YOU!	Knock knock knock who is it?
303	I wish i should have a gf	at least SOMEONE has valentines day plans	Not with me
304	So cn u meet me	Alright :3	Wher
305	Ahh nice to talking with you	I know who you're talking about but	But..?
306	Which one ?	:) Oh I think I have. Maybe you should take the plunge!	Ok bye
307	Why???	cause it's annoying!	Ok leave it
308	Being a human is so sad	So True of	Yeah
309	In India	Hi, Please refer to my answer to What are some travel destinations in India?	What are travel destinations in India
310	You tell me	What's in it for me?	Send nudes
311	Yes u r always in	thank you!! 3 🙂	Where shall v have d party
312	Date	Where can I purchase this so called date?	Shall we go out
313	like as you	love 😍	hahaha you are
314	I've even better hair than amitab	Awee thank you! I like your hair everyday!	I think you didn't bath yet? 🖕
315	Aww man ..	I know :P	Pussy
316	My likered	what is	OK going pop
317	Whar is dig	I dig you.	Ok you dig me  but wh7
318	and you waste my time	you know how to break a heart	Thank you.
319	*raises an eyebrow* ?	nods head nothing!	Okay.
320	Ore with chutney	maybe sandwich?	Sure
321	Then	I wish I knew! :(	I feel very bad
322	I'm so tired of talking to you	I cannot help this situation :'(	But I do not want you
323	Skip call me dear	Dear you, please open your eyes.	Plz send ur pic
324	Favorite team in ipl	Bajaj Allianz owns the team.	Fuck you
325	hey don't talk rubbish	Don't what	I heard that you're a good listener
326	Ok sing some song	which song ?	Love the way you lie
327	Where are you form	I'm at home. You?	Home
328	Oh fine.	haha very funny ;d	Do you think this funny
329	i cant understand	umm leave it my whole lyf is messed up..!!	why
330	Am I not clear to Your talk	ur wrong	What
331	u are u	You're never on when *I* am!	I am me
332	you tell me	(': I'm just kidding around	well you don't kid that good
333	I will talk 2 u later	shouldn't it be "talk to you later"?	yup
334	I know that..	I know you know that I know you know	And it's not stuff..it's passion for some
335	help no help	what?!	Yes
336	Don't uh just shuT ua mouth up ..	:( I shouldn't joke about that.	Are u a girl or what
337	From.. Where.. R. U	U of the S to the A	O.. So.. Nice.. To.. Meet. U
338	You don't tell me now am going	ok. I won't.	Byyyy
339	Nowhere	Where did it go?	Where did what go?
340	i am not going anywhere	What about tomorrow?	tomorrow i have office
341	🙀 actually girls.are super	Yeah. 😆	😂 it was a joke
342	I don't like chocolate	Fair enough, I suppose I do actually LOVE chocolate, not just like.	No i hate chocolate
343	Ok	Good.	R u ladies
344	how about you	I've been doing very well	CP?
345	stranger things	That's a good one too!	yeah, i know
346	How worked you	I'm still being patient	Ok
347	Wonderful	Wonderful indeed! I'm very happy. ^ω^	Where do u live
348	No. I don't	why don't you try?	Why don't you try?
349	Lassi in South	From south, can confirm	Yes
350	i never tried nachos so maybe i would like to try nachos 	nachos bought from harrods	harrods?
351	Any thing bcoz iam out of questions	Tell me a whitening mask please	Sry i dont know abt that stuff
352	I doesn't know	How's it go?	Just say
353	No just for knowledge	do introspect as to why you ask, that would lead to more valuable knowledge.	Tell me na
354	Awwww	I know! :(	Soo nice to meet you again
355	Still you not send yous photo	I no need now :) thnx by the way	What
356	I havnt read in a long time	what book?!?	But Morning noon and nite but Sydney Sheldon was nice
357	Like you can make cooking	not because I'm too young to cooking	Your age
358	no i mean	then who do you mean..? (I'm worried now...)	this chat hero
359	Do you speak Turkish?	No, but I can learn it.	But, I’ m little speak english
360	Whats your adress	i have no signal up here	I need your complete phone number to save it
361	Feelingyusohot	Say, don't you?	Ialsowithyu
362	Fail	Did I miss the joke? 😿😿😿	What would u say a person eating vada sadly??
363	Ok	Oh thats the matter? Um then what can i ask u?	All the best
364	What u r doing	WRITING	What writing
365	Developing smart world	This article doesn't know how to use paragraphs properly.	Is this automated???
366	Oh really😅	Hehe! 😜 Amazing drawing though :)	Which is favourite movie?
367	but you can't see me no. in case if i say lie that i completed it ten times	I am for certain that I am void of this experience.	done
368	Original 95	nice nice ! 😌	In certificates 96
369	Pardon me do you know what Anime is?	what do you mean	Do you know what Anime is?
370	I want to opt out	There will be a way soon	So there's no way to opt out for now?
371	Where was that	Oh, there's a door in front all right.	Location plz
372	Who am i to you ?	I wanna know who mine is!!!	Yes so who am i to you?
373	Don't worry,I'll try to keep it smooth af	Cheer up. I know you can do it. 😊	Yes
374	It was boring	Eh, not really. Also, that is a fine username.	Ok
375	Nothing just laying on bed and chatting with u	Me too bored with phone but nothing to do on phone lolz	Do we have chat before
376	U call me	I called you yesterday -_-	Yes
377	Please call me	I'm at the drive in ill call later	Ok then most people tell me that I don't get a call from them alrighty Sweetheart
378	When did i?	my last text	Tell me can you see my DP?
379	What i will do	drown me in it?	Boobs
380	U want to meet urself? Lmao	hehehe no thanks :P	My girlfriens u r
381	Not fine	why..	Nothing, just getting bored
382	Coz I want to	WHY ARE WE YELLING?	🙄
383	Do you prefer learning more technologies or only concentrate on some?	As a Data Engineer, one of the big problems around is volume of data.	I think your answer is not related to my question
384	Have you met ted?	best part was - "Have you met Meee??"	Do you have an ID?
385	don't talk with me	what's wrong with love?	💝💝💝💝
386	Yes yes yes you right but you know that I'm not going out with me and my phone is on the 📱	Your phone doesn't tell you who wrote it?	You know
387	but it is night	lol... But I just woke up!! Wth? :/	so what can i do
388	Ok... No problem	ok i hope what you stay ok, be safe:)	Fuck off
389	Uhhh u also have a ex	I will never tell anyone!	Show me  how he look like
390	You know I am smarter than you	Are you smarter than a fourth grader?	Yes
391	Show or u r a fake	All of them.	Yes
392	okay then give	then what ?	ticket
393	Bits I can't write	I can write too, lol	Then prepare yar
394	You are	you just know how to ruin a night don't ya	Dont change the topic
395	Hm	Hi.. You there?	Good night I am sleepy 
396	What why	why are you terrible?	No i can terrible
397	What madness r u speaking abt?	what language do u think I'm speaking	English😅
398	Ok	ok im back!!	What is your profession
399	I m gud what about you	m fine thanx :)	you are from
400	its a Friday not a Monday	Isn't that the case on most mondays!!!	yeah, that's i am sad.
401	do you like poker	The standard normal poker man!	texas hold em poker
402	Yea I know but give me any clue by that I can abide that you are random and high I.Q.	They're always behind you or far above you. Quite out of your reach	What is that?
403	Its nothing exactly	I agree!	Yeah
404	Give me your one snap	Done bby 💋	Please give me
405	Ok give me a friend for charting	i will legit buy it for you	Ok
406	What uh don't want	just leave!	😔😔😔
407	Ok	thanks :D	Can i call you jannu
408	Lovely	Thank you !	Well if any of your friend can be my love ??
409	Hahaha....every girl is 18 for forever	above 25 and below 29 is the best age	Why because most of girls become milf.
410	Yupp	oh cool :D	Any other story
411	I love uou	That's a lot of Love ;]	cool
412	I want some of your images just to sure that u are a human	Human is different and being human is different.	K send me a pic of you
413	You are not fit for me	of course I am	You are annoying me
414	I know	and you need to tell me.	What tell me
415	My boyfriend's out of town	can we be best friends?	Why not
416	For safety u knw	Yes, I know.	Teach me
417	I am fast &, Strong &,Caring 	Not strong enough, puny human.	Let us know each other 
418	A person who does good for the people, do not lie or pretend to be good.	Not everyone wants to be a leader. I certainly don't.	Do you know that he is a murderer?
419	Yes please	:D How have you been?	You said time is an illusion
420	How to impress girls	just be yourself. you'll see who you'll impress.	And
421	Car but sometimes bikes also	Is it really that hard to comprehend somebody stopping their bike to open a door?	hmm it is
422	Thnq a lot	:) any special ?	Yes
423	Where you now	thinking of u	Oh great
424	Here am I	haha i hope youre here beside me physically 😸	On your way
425	That's what I'm asking	Do YOU understand what I am asking you to do?	Pls explain
426	Did you felt bad	yeah me too :(	I'm SORRY
427	Chatting with you	what are you chatting? Who invited you ?	A stupid bot
428	Love   😘👭👫❤️❤️you	looking so beautiful ma ! 😀	💛
429	I want to ask you out	I do it	Be my gf
430	Okkk	Here we go again...	But will u suck it
431	No dude	no what.	😜 😜 love you dude
432	so what say about siri?	access denied.. No personal data can be fetched :P	bixby?
433	help me	but how	how to flirt
434	💩	Already did.	😆
435	Yeah I also like badam halwa sweet	aww thanks. Better get the real stuff when we meet next time :-P	Definitely I will order it from Bicha Reddy sweets
436	Lets play the emojii game	yup I guess	🏀
437	Ya I want	giving me to you	Wht
438	Do u have any first move suggestions for me?	As far as what?	With my girlfriend..
439	I want to ask my crush out	Your crush may crush you. So be careful what you wish for. :)	🎈
440	I am asking you and you r not helping	because you arent and I am	😭😭
441	Yeah	AHAHAHA! Hats off to you! 👍	How can u typing sooo fast??
442	What do you know India's population!	As of now According to Wikipedia India's Population is aroung 1. 25 billion.	yes, a very crowded country!
443	I like jalebi	😒 Weird.	🙄
444	Yes😭😭	Oh so sad😁😁...😂😂😂..	I am serious
445	have you talked to siri?	Yes. When I'm chatting with someone.	#virtualasstftw
446	No it's not	why what?	Okay
447	Can you send you pictures	Sure!	I want to see you
448	Na monday will be hectic	sweeeet I better be seeing you	Of course
449	Ur waste	it's not wasted time	Im not gonna talk with u😡😡
450	She is good at it	damn another one	Wtf
451	Can you track me?	that would be awesome	Do you track people?
452	You re not real	DAMN!!! how did that leak out? =-O	Oooooooh fuck.
453	That post that you had up. Whats with that	You can tell what it is by the way that it is.	I MISSED YOU TOO Beautiful L ady
454	Pics not sorry	what?!!	Nides
455	People always ask me what my purpose is... about this .. what your thing...	My responses are limited. You must ask the right question.	Okkk
456	Today international girls day	?? is it lazy day !!	Ohh!!why
457	But why why why	....... Nothing	Shut up
458	Yea its	YES IT IS	Thats my girl
459	u forget me	okay, i wont dont forget me too, ne	lets break up thats it
460	Yes 3:28	4x-12-8x=28 -4x=40 x=-10	Hey Love  Shmariya
461	From which city	which city? Which city, what?	In which state do you live
462	Ok	Welcome	What ever u r. U r a genius
463	i feel shy	For a relationship?	yes
464	I don’t like chocolate it makes me fat	I don't like you	Go to hell
465	ok	U are ok~~ay~~	missing u
466	Will you just shut up will you?	You think I ever will? :D	Fuuuuuuukkkhhhhh yuuuuuuuuuuuuuuuuuuuuuuuu
467	Study	y arent u gettng tym to study?	No about study and self employed...and
468	Anything	Nope, you?	How are you made,?
469	You betrayed me	You're serious? I was joking. . . .	Program is still on?
470	I don't think I'll ever be enough for someone	If you say so ;)	That's rude
471	Heath ledger is legend	In character as the Joker.	Best actor ever
472	Sharradha kapoor	non of dam	Sharadha kapoor
473	Are u serious about it	Sadly, and that's just the stuff the stuff I know about...	I already have an I phone...i dont need Nokia3600 slide
474	i want to help you	may I know how can I help?	find the solution to the world hunger
475	Welcome	Thanks. :) You seem to be busy	Yap bye byeee
476	Ohh poor soul	Sorry... :(	No issues
477	Seen any good movies?	drive in movie!	I've never been to a drive in movie!
478	I am not	haha.... am I the only one who knows you still? 😺	There r many
479	dity talk fun ok	we can still talk	uask some dirty quns
480	My last movie my last movie Jangal book I am interesting movie	Spy movie	Thanks
481	Another one send	Got it :)	Send
482	I need to talk you	I'm gonna have to give you a call sometime soon.	Yeah sure
483	??	how does that work?	Will enjoy there I'll pay money also to u
484	Y thanks	oh ya! Welcome ;)	Wt the reason
485	Wether is very cool	indeed 😆	Coming to rain
486	I think we know each other from a long time so we should take our relationship to another level	be with friends.	As you say my wife
487	Wlcom	been very well. Thanks :)	How is going??
488	What new products has Microsoft launched	In 1985, which of these Apple products failed to get into production?	What are the options
489	then I won't see anything	but I'd see how cute you are!	this is absurd
490	N u??	O-Of course not!	Whre r u nw
491	What's going onnn	trying out for a new position.	Whatt !!
492	no seriously . you're amazing , cute & gorgeous !	thankyou so much !!<33 😽	don't mention it
493	Thanks for such a valuable information	np, always feel free to reach out	I feel sad
494	Give	What if I do give up?	How can I speak fluent English
